"Company Name","Domain"
"Yahoo","yahoo.com"
"Amazon","amazon.com"
"LinkedIn","linkedin.com"
"National Institutes of Health","nih.gov"
"The New York Times","nytimes.com"
"NVIDIA","nvidia.com"
"AT&T","att.com"
"Encyclopaedia Britannica","britannica.com"
"Oxford University Press","oup.com"
"Android","android.com"
"The Apache Software Foundation","apache.org"
"Docker","docker.com"
"Hewlett Packard Enterprise","hpe.com"
"Thermo Fisher Scientific","thermofisher.com"
"DataCamp","datacamp.com"
"Spring","spring.io"
"Logitech","logitech.com"
"SAS","sas.com"
"Qt","qt.io"
"Esri","esri.com"
"iHeartRadio","iheartradio.com"
"Twitter","twitter.com"
"JD.com","jd.com"
"Netflix","netflix.com"
"Microsoft","microsoft.com"
"GitHub","github.com"
"Apple","apple.com"
"Adobe","adobe.com"
"Pinterest","pinterest.com"
"Salesforce","salesforce.com"
"BBC","bbc.co.uk"
"Globo.com","globo.com"
"Alibaba.com","alibaba.com"
"Flipkart","flipkart.com"
"Scribd","scribd.com"
"Mozilla","mozilla.org"
"Oracle","oracle.com"
"Elsevier","elsevier.com"
"Fiverr","fiverr.com"
"IBM","ibm.com"
"Kickstarter","kickstarter.com"
"European Union","europa.eu"
"Trustpilot","trustpilot.com"
"Paytm","paytm.com"
"Intel","intel.com"
"Time","time.com"
"itch.io","itch.io"
"Slate","slate.com"
"The Boston Globe","bostonglobe.com"
"Anaconda","anaconda.com"
"Axios","axios.com"
"Xilinx","xilinx.com"
"Juniper Networks","juniper.net"
"Motorola","motorola.com"
"Cloudera","hortonworks.com"
"Databricks","databricks.com"
"Balena","balena.io"
"Syncfusion","syncfusion.com"
"Cloudera","sequenceiq.com"
"Trulia","trulia.com"
"FiveThirtyEight","fivethirtyeight.com"
"JetBrains","jetbrains.com"
"SAP","sap.com"
"Commbank","commbank.com.au"
"Envato Tuts+","tutsplus.com"
"Financial Times","ft.com"
"Free Code Camp","freecodecamp.org"
"Zapier","zapier.com"
"Thomson Reuters","thomsonreuters.com"
"The Economist","economist.com"
"Pluralsight","pluralsight.com"
"Red Hat","redhat.com"
"Rackspace","rackspace.com"
"Instacart","instacart.com"
"rcsb pdb 🧬💻🔬💊🌱","rcsb.org"
"FINRA","finra.org"
"Duolingo","duolingo.com"
"nzherald","nzherald.co.nz"
"Mendeley","mendeley.com"
"niche","niche.com"
"UFRGS","ufrgs.br"
"Packt","packtpub.com"
"Fujitsu","fujitsu.com"
"HomeAway","homeaway.com"
"Hudl","hudl.com"
"TensorFlow","tensorflow.org"
"Thumbtack","thumbtack.com"
"SeatGeek","seatgeek.com"
"Stitch Fix","stitchfix.com"
"UFSC","ufsc.br"
"Avvo","avvo.com"
"Adblock Plus","adblockplus.org"
"Cloudera","cloudera.com"
"Automattic","automattic.com"
"Broadcom","broadcom.com"
"Pivotal","pivotal.io"
"OpenVPN","openvpn.net"
"JBoss","jboss.org"
"Tyler Technologies","tylertech.com"
"pathmind","skymind.ai"
